pdb,subtype,subtype_aug,y_true,y_pred
4lx6,riboswitch,riboswitch_5,7.0223,7.734354019165039
2mg8,g_quadruplex,g_quadruplex,6.0155,6.575587749481201
4yb0,riboswitch,riboswitch_2,6.0315,7.435760974884033
4xwf,g_quadruplex,g_quadruplex,5.9666,5.3105669021606445
4znp,g_quadruplex,g_quadruplex,5.3279,5.915214538574219
5c7u,riboswitch,riboswitch_0,7.3768,5.982316493988037
5btp,g_quadruplex,g_quadruplex,6.3125,6.066935062408447
5c7w,riboswitch,riboswitch_0,7.3188,5.776372909545898
2mxs,ribosomal_asite,ribosomal_asite,5.2924,5.8538384437561035
4rzd,riboswitch,riboswitch_5,8.1871,6.736174583435059
4yaz,riboswitch,riboswitch_2,7.1759,7.700644493103027
2n0j,ribosomal_asite,ribosomal_asite,6.4815,5.513700008392334
5cdb,g_quadruplex,g_quadruplex,5.9586,5.638183116912842
5lwj,other_misc,other_misc,5.5432,6.024888515472412
5uzz,other_misc,other_misc,6.699,6.240342617034912
5kpy,aptamer,aptamer,5.4089,6.027124404907227
5uee,other_misc,other_misc,3.699,5.909048557281494
5v3f,aptamer,aptamer,8.5229,8.854863166809082
5z80,other_misc,other_misc,5.9136,5.993785858154297
6d2u,other_misc,other_misc,9.7447,6.561863899230957
6dmc,riboswitch,riboswitch_4,6.2924,6.516345024108887
6c65,aptamer,aptamer,9.0458,8.835535049438477
6c63,aptamer,aptamer,8.9586,8.63952922821045
6c64,aptamer,aptamer,8.8539,6.907340049743652
6ck4,riboswitch,riboswitch_4,5.7447,5.884183883666992
5w77,other_misc,other_misc,4.7825,5.3061418533325195
6ck5,riboswitch,riboswitch_4,5.699,4.783535957336426
6fz0,riboswitch,riboswitch_3,5.3595,7.412636756896973
6dlt,riboswitch,riboswitch_4,4.2277,5.890650749206543
6e84,aptamer,aptamer,5.8539,6.3940348625183105
6j2w,other_misc,other_misc,5.8539,5.608949661254883
6e8t,aptamer,aptamer,8.7696,8.080552101135254
6qn3,riboswitch,riboswitch_1,3.7212,5.133715629577637
6e8s,aptamer,aptamer,8.6383,9.02448844909668
6hmo,other_misc,other_misc,4.5528,5.364282608032227
6hag,riboswitch,riboswitch_3,5.4318,6.6565070152282715
6p2h,other_misc,other_misc,7.4685,5.6765336990356445
6jj0,g_quadruplex,g_quadruplex,7.4437,5.804018497467041
6e81,aptamer,aptamer,5.5229,6.332136631011963
6e8u,aptamer,aptamer,8.3372,8.093080520629883
6hbt,duplex_groove,duplex_groove,5.3279,4.879423141479492
6sx3,other_misc,other_misc,5.1549,6.876254558563232
