pdb,subtype,y_true,y_pred,pred_7k
4lx5,riboswitch,6.6716,6.336164060263272,6.239211502945797
4nyc,riboswitch,3.5528,4.259722634197802,4.304266415988291
4qk8,riboswitch,6.5229,6.489184513035288,6.444866404475258
4qk9,riboswitch,6.5229,6.594810668992449,6.723010045868171
4nya,riboswitch,4.3098,4.531530576919019,3.779282041315351
4w90,riboswitch,7.2749,6.799870085860771,6.8496962935287
4ts0,aptamer,6.2757,6.2596211433410645,6.260344230985696
4ts2,aptamer,6.2757,6.267354965209961,6.131354124218392
4qlm,riboswitch,7.1805,6.318862100594351,6.22749996414316
4lvw,riboswitch,4.1805,4.687465462594227,4.393967513940652
4nyd,riboswitch,3.1739,5.374666401325591,5.120297026357667
4l81,riboswitch,5.1367,6.518045782691946,6.474377200098854
4lw0,riboswitch,5.0969,4.581274860482878,4.347402845322499
4lvv,riboswitch,5.0177,4.661621216573321,4.5828820117807165
4lx6,riboswitch,7.0223,6.160594080036001,6.3000712554747125
2mg8,g_quadruplex,6.0155,6.092153577460843,6.137325903093352
4yb0,riboswitch,6.0315,7.204682395508819,7.240613811838248
4xwf,g_quadruplex,5.9666,5.464078717913203,5.497329683852078
4znp,g_quadruplex,5.3279,6.280499871566381,6.200390496492576
5c7u,riboswitch,7.3768,5.952979758143987,5.902733428901648
5btp,g_quadruplex,6.3125,5.653593319532874,5.474175426668284
5c7w,riboswitch,7.3188,6.440813455416995,6.615998989007524
2mxs,ribosomal_asite,5.2924,5.863815784454346,6.20914476333888
4rzd,riboswitch,8.1871,6.876206445393644,6.8792595528742275
4yaz,riboswitch,7.1759,6.42711658850512,6.446088193632252
2n0j,ribosomal_asite,6.4815,5.614933490753174,5.208142973792455
5cdb,g_quadruplex,5.9586,5.8582886222412185,6.018576579397839
5lwj,other_misc,5.5432,5.465610980987549,6.0040779774793975
5uzz,other_misc,6.699,5.465610980987549,6.578668461883696
5kpy,aptamer,5.4089,6.061594486236572,5.706522157568516
5uee,other_misc,3.699,4.607296466827393,5.8885977593816925
5v3f,aptamer,8.5229,8.63102912902832,6.594560920671263
5z80,other_misc,5.9136,5.143898010253906,6.295175943997754
6d2u,other_misc,9.7447,5.465610980987549,6.529960170272439
6dmc,riboswitch,6.2924,5.697445907217474,5.698742577264419
6c65,aptamer,9.0458,8.672234535217285,8.309809340998402
6c63,aptamer,8.9586,9.123218536376951,8.608873430444447
6c64,aptamer,8.8539,7.110732555389404,7.590360039781291
6ck4,riboswitch,5.7447,6.268500780926733,6.508903316399114
5w77,other_misc,4.7825,5.068197250366211,5.708232525433299
6ck5,riboswitch,5.699,4.566860044480651,4.4541800619523695
6fz0,riboswitch,5.3595,7.157991027461995,7.193851837198885
6dlt,riboswitch,4.2277,5.518154526082959,5.457950440181564
6e84,aptamer,5.8539,6.123398780822754,6.11846763097561
6j2w,other_misc,5.8539,4.626264572143555,5.248799232728784
6e8t,aptamer,8.7696,8.173084259033203,7.081223111114763
6qn3,riboswitch,3.7212,4.964629328766045,4.941795496652925
6e8s,aptamer,8.6383,9.07891845703125,7.801765477727118
6hmo,other_misc,4.5528,5.465610980987549,5.56062109604942
6hag,riboswitch,5.4318,6.492255989078128,6.198189042436521
6p2h,other_misc,7.4685,5.465610980987549,5.676880078895426
6jj0,g_quadruplex,7.4437,6.246540345077456,6.209637212625632
6e81,aptamer,5.5229,6.162921905517578,5.885077361245175
6e8u,aptamer,8.3372,8.383036613464355,7.569155870464396
6hbt,duplex_groove,5.3279,5.018413066864014,4.745775586163899
6sx3,other_misc,5.1549,5.006446838378906,6.530595262245906
