pdb,subtype,y_true,y_pred,pred_s11,pred_s21,pred_s22,meta_pred,ext_mkl_pred
4nyd,riboswitch,3.1739,5.127909183832699,5.678905963897705,5.251733749348934,4.984546242417148,5.1101867063097375,5.127909183832699
4l81,riboswitch,5.1367,6.560338150307048,6.568655490875244,6.58653000321267,6.540447952262225,6.698014695554694,6.560338150307048
4lw0,riboswitch,5.0969,4.652548210874637,5.311980247497559,4.883557727805523,4.4869520102785225,4.810126453907255,4.652548210874637
4lvv,riboswitch,5.0177,4.605409107074965,5.676915645599365,5.1775245943014685,4.6026151072260815,5.025415969334961,4.605409107074965
4lx6,riboswitch,7.0223,6.172868276135764,5.595923900604248,6.138005987675189,6.213163416813111,6.080449355225276,6.172868276135764
2mg8,g_quadruplex,6.0155,6.092153577460843,6.372193813323975,6.372193813323975,6.372193813323975,6.627207936859421,6.092153577460843
4yb0,riboswitch,6.0315,7.26155962720368,7.20953893661499,7.590149027831096,7.250377591058566,7.946427372036885,7.26155962720368
4xwf,g_quadruplex,5.9666,5.464078717913203,5.382163047790527,5.382163047790527,5.382163047790527,4.988710645854172,5.464078717913203
4znp,g_quadruplex,5.3279,6.280499871566381,5.998818397521973,5.998818397521973,5.998818397521973,5.7016964445953064,6.280499871566381
5c7u,riboswitch,7.3768,5.871079667232433,5.37113094329834,5.608898129687304,5.8267571828589615,5.618803034220927,5.871079667232433
5btp,g_quadruplex,6.3125,5.653593319532874,6.141241073608398,6.141241073608398,6.141241073608398,5.5644934558785,5.653593319532874
5c7w,riboswitch,7.3188,6.297156185193305,5.361804962158203,5.855358640406912,6.435578468506196,5.808455127529976,6.297156185193305
2mxs,ribosomal_asite,5.2924,5.863815784454346,5.863815784454346,5.863815784454346,5.863815784454346,5.910131356992714,6.2249486921978425
4rzd,riboswitch,8.1871,6.740628005257593,5.570803165435791,6.7694815810035776,6.768158220977358,6.432877674719484,6.740628005257593
4yaz,riboswitch,7.1759,6.386167019953917,7.385825634002685,6.910580755930598,6.361543126292525,7.3825845805327175,6.386167019953917
2n0j,ribosomal_asite,6.4815,5.614933490753174,5.614933490753174,5.614933490753174,5.614933490753174,5.468663134463831,5.202482983420923
5cdb,g_quadruplex,5.9586,5.8582886222412185,5.653140068054199,5.653140068054199,5.653140068054199,5.9550881720794795,5.8582886222412185
5lwj,other_misc,5.5432,5.465610980987549,5.997793674468994,5.997793674468994,5.465610980987549,5.649613852661843,5.763654198233026
5uzz,other_misc,6.699,5.465610980987549,6.345890522003174,6.345890522003174,5.465610980987549,6.06039685526756,6.738029362837782
5kpy,aptamer,5.4089,6.061594486236572,6.061594486236572,6.061594486236572,6.061594486236572,6.202232502412776,5.791331446552709
5uee,other_misc,3.699,4.607296466827393,5.995673656463623,5.995673656463623,4.607296466827393,5.613355005115395,5.902101405591227
5v3f,aptamer,8.5229,8.63102912902832,8.63102912902832,8.63102912902832,8.63102912902832,8.827552336732342,6.978308575803163
5z80,other_misc,5.9136,5.143898010253906,5.969972133636475,5.969972133636475,5.143898010253906,6.161309542119922,6.3849260807019
6d2u,other_misc,9.7447,5.465610980987549,6.50337553024292,6.50337553024292,5.465610980987549,6.722091745401263,6.473203375137451
6dmc,riboswitch,6.2924,5.816957779836093,6.650332450866699,6.707109424336611,5.863360615915638,6.257086682885039,5.816957779836093
6c65,aptamer,9.0458,8.672234535217285,8.672234535217285,8.672234535217285,8.672234535217285,8.149364333704064,8.140070812776731
6c63,aptamer,8.9586,9.123218536376951,9.123218536376951,9.123218536376951,9.123218536376951,8.731734708995205,8.702243792950524
6c64,aptamer,8.8539,7.110732555389404,7.110732555389404,7.110732555389404,7.110732555389404,7.0862601849364975,8.008673288437908
6ck4,riboswitch,5.7447,6.294622132118429,6.022671699523926,6.192378529501491,6.323672140424827,5.881326880866336,6.294622132118429
5w77,other_misc,4.7825,5.068197250366211,5.438558101654053,5.438558101654053,5.068197250366211,5.608045736106141,5.670067348433648
6ck5,riboswitch,5.699,4.5143225414695145,5.063108444213867,4.480180264253612,4.51482336617652,4.640187972597525,4.5143225414695145
6fz0,riboswitch,5.3595,7.2745763539550445,7.272631645202637,7.3179908295062015,7.261382687344874,7.360030562594658,7.2745763539550445
6dlt,riboswitch,4.2277,5.489851735421296,5.93446159362793,5.489907631680345,5.544850743822425,5.377410590802461,5.489851735421296
6e84,aptamer,5.8539,6.123398780822754,6.123398780822754,6.123398780822754,6.123398780822754,5.714992641087097,6.051814169739813
6j2w,other_misc,5.8539,4.626264572143555,5.586822032928467,5.586822032928467,4.626264572143555,5.2355887320739685,5.079502465935518
6e8t,aptamer,8.7696,8.173084259033203,8.173084259033203,8.173084259033203,8.173084259033203,7.434867763781538,7.1735012619479805
6qn3,riboswitch,3.7212,4.939319846802743,5.272337913513184,4.893860032499477,5.019401675442441,4.912057916771353,4.939319846802743
6e8s,aptamer,8.6383,9.07891845703125,9.07891845703125,9.07891845703125,9.07891845703125,8.502741070328137,7.934057436625217
6hmo,other_misc,4.5528,5.465610980987549,5.348348140716553,5.348348140716553,5.465610980987549,5.1665336524278835,5.236429072097735
6hag,riboswitch,5.4318,6.646781863952317,6.627234935760498,6.658907995973361,6.655743775971863,6.25148079093646,6.646781863952317
6p2h,other_misc,7.4685,5.465610980987549,5.695188999176025,5.695188999176025,5.465610980987549,5.678180043542184,5.6125302152885
6jj0,g_quadruplex,7.4437,6.246540345077456,5.843963623046875,5.843963623046875,5.843963623046875,6.016164554705031,6.246540345077456
6e81,aptamer,5.5229,6.162921905517578,6.162921905517578,6.162921905517578,6.162921905517578,5.8136787825799345,6.063410874499715
6e8u,aptamer,8.3372,8.383036613464355,8.383036613464355,8.383036613464355,8.383036613464355,8.254508254030297,7.977911797826023
6hbt,duplex_groove,5.3279,5.018413066864014,5.018413066864014,5.018413066864014,5.018413066864014,4.565081073291507,4.6839117862915325
6sx3,other_misc,5.1549,5.006446838378906,6.720849990844727,6.720849990844727,5.006446838378906,6.349644000075085,6.541142344504559
