pdb,subtype,y_true,y_pred,rs_class
2xo0,aptamer,4.0969,4.222468852996826,unknown
3s4p,other_misc,6.0,6.169226169586182,unknown
4aob,riboswitch,6.3098,6.087547095460035,SAM_SAH
4fe5,riboswitch,6.1355,6.408614228253391,purine
2loa,g_quadruplex,5.6576,5.09135627746582,unknown
4erj,riboswitch,2.5086,3.8315701258149195,amino_acid
2lwk,other_misc,4.2967,5.205312252044678,unknown
4erl,riboswitch,3.2441,3.805658340306138,other_lig
2mb3,other_misc,5.1308,6.147456645965576,unknown
2rsk,other_misc,5.0,6.62946891784668,unknown
4jf2,riboswitch,7.7471,6.8647317731233475,purine
4kqy,riboswitch,7.7212,6.528361286160395,SAM_SAH
4oqu,riboswitch,6.3872,5.434010853548697,SAM_SAH
4lvz,riboswitch,6.301,6.2853070471475965,purine
4nyg,riboswitch,5.8239,4.479833453174696,other_lig
4nyb,riboswitch,3.9872,4.001485201859446,purine
4lvy,riboswitch,3.9586,4.895587767753947,other_lig
4lvx,riboswitch,4.7447,4.503735574593434,other_lig
4qln,riboswitch,5.5376,6.601687710280544,FMN_FAD
4lx5,riboswitch,6.6716,6.471629068625775,purine
4nyc,riboswitch,3.5528,3.9594080054207614,purine
4qk8,riboswitch,6.5229,6.686167979612462,FMN_FAD
4qk9,riboswitch,6.5229,6.838046608570483,FMN_FAD
4nya,riboswitch,4.3098,4.53732626342356,preQ_small
4w90,riboswitch,7.2749,6.647307751236679,FMN_FAD
4ts0,aptamer,6.2757,6.2596211433410645,unknown
4ts2,aptamer,6.2757,6.267354965209961,unknown
4qlm,riboswitch,7.1805,6.498244708867297,FMN_FAD
4lvw,riboswitch,4.1805,4.818093657585919,purine
4nyd,riboswitch,3.1739,5.251733749348934,purine
4l81,riboswitch,5.1367,6.58653000321267,SAM_SAH
4lw0,riboswitch,5.0969,4.883557727805523,purine
4lvv,riboswitch,5.0177,5.1775245943014685,FMN_FAD
4lx6,riboswitch,7.0223,6.138005987675189,purine
2mg8,g_quadruplex,6.0155,6.372193813323975,unknown
4yb0,riboswitch,6.0315,7.590149027831096,FMN_FAD
4xwf,g_quadruplex,5.9666,5.382163047790527,unknown
4znp,g_quadruplex,5.3279,5.998818397521973,unknown
5c7u,riboswitch,7.3768,5.608898129687304,purine
5btp,g_quadruplex,6.3125,6.141241073608398,unknown
5c7w,riboswitch,7.3188,5.855358640406912,purine
2mxs,ribosomal_asite,5.2924,5.863815784454346,unknown
4rzd,riboswitch,8.1871,6.7694815810035776,purine
4yaz,riboswitch,7.1759,6.910580755930598,FMN_FAD
2n0j,ribosomal_asite,6.4815,5.614933490753174,unknown
5cdb,g_quadruplex,5.9586,5.653140068054199,unknown
5lwj,other_misc,5.5432,5.997793674468994,unknown
5uzz,other_misc,6.699,6.345890522003174,unknown
5kpy,aptamer,5.4089,6.061594486236572,unknown
5uee,other_misc,3.699,5.995673656463623,unknown
5v3f,aptamer,8.5229,8.63102912902832,unknown
5z80,other_misc,5.9136,5.969972133636475,unknown
6d2u,other_misc,9.7447,6.50337553024292,unknown
6dmc,riboswitch,6.2924,6.707109424336611,FMN_FAD
6c65,aptamer,9.0458,8.672234535217285,unknown
6c63,aptamer,8.9586,9.123218536376951,unknown
6c64,aptamer,8.8539,7.110732555389404,unknown
6ck4,riboswitch,5.7447,6.192378529501491,FMN_FAD
5w77,other_misc,4.7825,5.438558101654053,unknown
6ck5,riboswitch,5.699,4.480180264253612,other_lig
6fz0,riboswitch,5.3595,7.3179908295062015,SAM_SAH
6dlt,riboswitch,4.2277,5.489907631680345,other_lig
6e84,aptamer,5.8539,6.123398780822754,unknown
6j2w,other_misc,5.8539,5.586822032928467,unknown
6e8t,aptamer,8.7696,8.173084259033203,unknown
6qn3,riboswitch,3.7212,4.893860032499477,amino_acid
6e8s,aptamer,8.6383,9.07891845703125,unknown
6hmo,other_misc,4.5528,5.348348140716553,unknown
6hag,riboswitch,5.4318,6.658907995973361,SAM_SAH
6p2h,other_misc,7.4685,5.695188999176025,unknown
6jj0,g_quadruplex,7.4437,5.843963623046875,unknown
6e81,aptamer,5.5229,6.162921905517578,unknown
6e8u,aptamer,8.3372,8.383036613464355,unknown
6hbt,duplex_groove,5.3279,5.018413066864014,unknown
6sx3,other_misc,5.1549,6.720849990844727,unknown
