pdb,subtype,y_true,y_pred
2loa,g_quadruplex,5.6576,6.961393190988694
4erj,riboswitch,2.5086,3.422402445101019
2lwk,other_misc,4.2967,5.2638752008125635
4erl,riboswitch,3.2441,3.3408727642063667
2mb3,other_misc,5.1308,5.877293241906994
2rsk,other_misc,5.0,6.564405959252959
4jf2,riboswitch,7.7471,6.855534974666474
4kqy,riboswitch,7.7212,6.596586287237497
4oqu,riboswitch,6.3872,5.081778046410573
4lvz,riboswitch,6.301,6.228638020943567
4nyg,riboswitch,5.8239,4.537551530769988
4nyb,riboswitch,3.9872,3.531654015350277
4lvy,riboswitch,3.9586,4.832068550456233
4lvx,riboswitch,4.7447,4.164418107881085
4qln,riboswitch,5.5376,6.933481618481319
4lx5,riboswitch,6.6716,6.996176928040921
4nyc,riboswitch,3.5528,3.4203301638150476
4qk8,riboswitch,6.5229,6.731727512826489
4qk9,riboswitch,6.5229,6.950375453418865
4nya,riboswitch,4.3098,4.172036495258761
4w90,riboswitch,7.2749,6.891525041727326
4ts0,aptamer,6.2757,6.2509291720841595
4ts2,aptamer,6.2757,6.2706874067714935
4qlm,riboswitch,7.1805,6.001810475450926
4lvw,riboswitch,4.1805,4.728908321169129
4nyd,riboswitch,3.1739,5.295687763061801
4l81,riboswitch,5.1367,6.686358202808391
4lw0,riboswitch,5.0969,5.295419552942041
4lvv,riboswitch,5.0177,4.3168900379299355
4lx6,riboswitch,7.0223,6.165862203621664
2mg8,g_quadruplex,6.0155,6.748019447215265
4yb0,riboswitch,6.0315,7.39799065784729
4xwf,g_quadruplex,5.9666,5.315487394824267
4znp,g_quadruplex,5.3279,6.293766303679352
5c7u,riboswitch,7.3768,5.6917641004415245
5btp,g_quadruplex,6.3125,5.641835235823988
5c7w,riboswitch,7.3188,6.2496449446818865
2mxs,ribosomal_asite,5.2924,6.628640185058071
4rzd,riboswitch,8.1871,6.7132683909773565
4yaz,riboswitch,7.1759,6.102266022753826
2n0j,ribosomal_asite,6.4815,5.15396125454539
5cdb,g_quadruplex,5.9586,6.568234075615796
5lwj,other_misc,5.5432,3.5553801345636424
5uzz,other_misc,6.699,7.009261870474186
5kpy,aptamer,5.4089,6.006515154972572
5uee,other_misc,3.699,4.657948338639697
5v3f,aptamer,8.5229,8.619617070838167
5z80,other_misc,5.9136,4.76711478834213
6d2u,other_misc,9.7447,5.9866538862092025
6dmc,riboswitch,6.2924,6.0390266395093795
6c65,aptamer,9.0458,8.661610484205955
6c63,aptamer,8.9586,9.116326237904916
6c64,aptamer,8.8539,7.097457994964103
6ck4,riboswitch,5.7447,6.599913405765332
5w77,other_misc,4.7825,4.077133239364381
6ck5,riboswitch,5.699,4.1707000984879405
6fz0,riboswitch,5.3595,7.4172468804852585
6dlt,riboswitch,4.2277,5.586273335215557
6e84,aptamer,5.8539,6.160902443383889
6j2w,other_misc,5.8539,4.553660044163864
6e8t,aptamer,8.7696,8.187122125441679
6qn3,riboswitch,3.7212,3.948256722570102
6e8s,aptamer,8.6383,9.07467037476775
6hmo,other_misc,4.5528,5.134938610185952
6hag,riboswitch,5.4318,6.708863762792989
6p2h,other_misc,7.4685,5.179677817121972
6jj0,g_quadruplex,7.4437,5.886060858505402
6e81,aptamer,5.5229,6.1841018484496075
6e8u,aptamer,8.3372,8.28858356168823
6hbt,duplex_groove,5.3279,6.82544595307764
6sx3,other_misc,5.1549,5.2266661189196775
