pdb,subtype,y_true,y_pred,model
6e84,aptamer,5.8539,6.123398780822754,step11_ridge
6j2w,other_misc,5.8539,5.586822032928467,step11_ridge
6e8t,aptamer,8.7696,8.173084259033203,step11_ridge
6qn3,riboswitch,3.7212,4.6758133237584305,mkl(unimol+tanimoto)
6e8s,aptamer,8.6383,9.07891845703125,step11_ridge
6hmo,other_misc,4.5528,5.348348140716553,step11_ridge
6hag,riboswitch,5.4318,6.719927634949023,mkl(unimol+tanimoto)
6p2h,other_misc,7.4685,5.695188999176025,step11_ridge
6jj0,g_quadruplex,7.4437,5.843963623046875,step11_ridge
6e81,aptamer,5.5229,6.162921905517578,step11_ridge
6e8u,aptamer,8.3372,8.383036613464355,step11_ridge
6hbt,duplex_groove,5.3279,5.018413066864014,step11_ridge
6sx3,other_misc,5.1549,6.720849990844727,step11_ridge
