pdb,subtype,y_true,y_pred,mkl_v2,cka_mkl
4qlm,riboswitch,7.1805,6.318862100594351,6.484138653948855,6.340894169636083
4lvw,riboswitch,4.1805,4.687465462594227,4.906605263211386,4.860539764935475
4nyd,riboswitch,3.1739,5.374666401325591,5.7819329214154935,5.716362945586299
4l81,riboswitch,5.1367,6.518045782691946,6.500068178074866,6.524633103741024
4lw0,riboswitch,5.0969,4.581274860482878,4.577343843849696,4.533436110350079
4lvv,riboswitch,5.0177,4.661621216573321,4.882726544489239,4.866414904665655
4lx6,riboswitch,7.0223,6.160594080036001,6.021202179507863,6.107369386568285
2mg8,g_quadruplex,6.0155,6.092153577460843,6.243903079716265,6.259147812091377
4yb0,riboswitch,6.0315,7.204682395508819,7.12580332650463,7.191478576490393
4xwf,g_quadruplex,5.9666,5.464078717913203,5.6712401321169486,5.631531977297816
4znp,g_quadruplex,5.3279,6.280499871566381,6.136699247009625,6.084191562785584
5c7u,riboswitch,7.3768,5.952979758143987,5.943291019343297,5.987598648207916
5btp,g_quadruplex,6.3125,5.653593319532874,5.504754749230641,5.481968944516961
5c7w,riboswitch,7.3188,6.440813455416995,6.318932071889513,6.373379962409181
2mxs,ribosomal_asite,5.2924,5.863815784454346,5.879636810973194,5.888749124555728
4rzd,riboswitch,8.1871,6.876206445393644,7.13826161333874,6.793863167468847
4yaz,riboswitch,7.1759,6.42711658850512,6.491581761370537,6.527318710219474
2n0j,ribosomal_asite,6.4815,5.614933490753174,5.261533725113532,5.183265987089907
5cdb,g_quadruplex,5.9586,5.8582886222412185,6.2151715486957935,6.233979893942068
5lwj,other_misc,5.5432,5.465610980987549,5.93332139891382,6.0915768918606155
5uzz,other_misc,6.699,5.465610980987549,6.5146742153509996,6.467955937367915
5kpy,aptamer,5.4089,6.061594486236572,5.507444468174386,5.657725749926281
5uee,other_misc,3.699,4.607296466827393,6.004763447172411,5.833354064264663
5v3f,aptamer,8.5229,8.63102912902832,6.194236137447905,6.19337971347332
5z80,other_misc,5.9136,5.143898010253906,6.200861154636371,6.226148327090897
6d2u,other_misc,9.7447,5.465610980987549,6.216654256648315,6.353203687738337
6dmc,riboswitch,6.2924,5.697445907217474,5.5508780980548975,5.635893258266451
6c65,aptamer,9.0458,8.672234535217285,8.020153940268216,8.029388516272371
6c63,aptamer,8.9586,9.123218536376951,8.423264702553706,8.2872028673713
6c64,aptamer,8.8539,7.110732555389404,6.896959000779486,6.864342974945805
6ck4,riboswitch,5.7447,6.268500780926733,6.145627621586966,6.5289131315316125
5w77,other_misc,4.7825,5.068197250366211,5.914319104028642,5.930886558734368
6ck5,riboswitch,5.699,4.566860044480651,4.503771455234011,4.345131244342883
6fz0,riboswitch,5.3595,7.157991027461995,7.035113925622909,7.167294611960137
6dlt,riboswitch,4.2277,5.518154526082959,5.267393011268809,5.698154213810567
6e84,aptamer,5.8539,6.123398780822754,6.320194977750508,6.4104367814454335
6j2w,other_misc,5.8539,4.626264572143555,5.166644639755514,5.252247643618078
6e8t,aptamer,8.7696,8.173084259033203,6.734133739359944,6.758481887238181
6qn3,riboswitch,3.7212,4.964629328766045,4.899875259261634,4.710506982099904
6e8s,aptamer,8.6383,9.07891845703125,7.877721247121585,7.841242018943623
6hmo,other_misc,4.5528,5.465610980987549,5.4599765336336334,5.552818970214745
6hag,riboswitch,5.4318,6.492255989078128,6.495992606735282,5.870131245480545
6p2h,other_misc,7.4685,5.465610980987549,5.74487336580418,5.787679642078902
6jj0,g_quadruplex,7.4437,6.246540345077456,6.156336347017414,6.160298621914904
6e81,aptamer,5.5229,6.162921905517578,5.82777153474661,5.83077854743403
6e8u,aptamer,8.3372,8.383036613464355,7.112110104890995,7.1461325730426495
6hbt,duplex_groove,5.3279,5.018413066864014,4.576872488239021,4.452684777473951
6sx3,other_misc,5.1549,5.006446838378906,6.431159698012381,6.4158656784644
