pdb,subtype,y_true,y_pred,vina_score
4ts0,aptamer,6.2757,6.254794597625732,
4ts2,aptamer,6.2757,6.269133567810059,
4qlm,riboswitch,7.1805,6.001810475450926,
4lvw,riboswitch,4.1805,4.728908321169129,
4nyd,riboswitch,3.1739,5.295687763061801,-7.08
4l81,riboswitch,5.1367,6.686358202808391,
4lw0,riboswitch,5.0969,5.295419552942041,-5.988
4lvv,riboswitch,5.0177,4.3168900379299355,
4lx6,riboswitch,7.0223,6.165862203621664,
2mg8,g_quadruplex,6.0155,6.385193347930908,
4yb0,riboswitch,6.0315,7.39799065784729,
4xwf,g_quadruplex,5.9666,5.3636274337768555,
4znp,g_quadruplex,5.3279,5.990638732910156,-8.056
5c7u,riboswitch,7.3768,5.6917641004415245,
5btp,g_quadruplex,6.3125,6.124602794647217,-8.52
5c7w,riboswitch,7.3188,6.2496449446818865,
2mxs,ribosomal_asite,5.2924,5.850547790527344,
4rzd,riboswitch,8.1871,6.7132683909773565,
4yaz,riboswitch,7.1759,6.102266022753826,
2n0j,ribosomal_asite,6.4815,5.59735107421875,-8.675
5cdb,g_quadruplex,5.9586,5.6445417404174805,
5lwj,other_misc,5.5432,6.002492427825928,
5uzz,other_misc,6.699,6.366478443145752,
5kpy,aptamer,5.4089,6.021956920623779,
5uee,other_misc,3.699,5.955471515655518,
5v3f,aptamer,8.5229,8.600137710571289,
5z80,other_misc,5.9136,5.970166206359863,
6d2u,other_misc,9.7447,6.502604961395264,
6dmc,riboswitch,6.2924,6.0390266395093795,
6c65,aptamer,9.0458,8.671463012695312,
6c63,aptamer,8.9586,9.116448402404785,
6c64,aptamer,8.8539,7.081914901733398,
6ck4,riboswitch,5.7447,6.599913405765332,
5w77,other_misc,4.7825,5.432937145233154,
6ck5,riboswitch,5.699,4.1707000984879405,
6fz0,riboswitch,5.3595,7.4172468804852585,
6dlt,riboswitch,4.2277,5.586273335215557,-10.86
6e84,aptamer,5.8539,6.123631954193115,
6j2w,other_misc,5.8539,5.590000152587891,-8.999
6e8t,aptamer,8.7696,8.198323249816895,
6qn3,riboswitch,3.7212,3.948256722570102,-5.718
6e8s,aptamer,8.6383,8.97288703918457,
6hmo,other_misc,4.5528,5.353661060333252,-7.557
6hag,riboswitch,5.4318,6.708863762792989,-7.837
6p2h,other_misc,7.4685,5.704830169677734,
6jj0,g_quadruplex,7.4437,5.836687088012695,-9.65
6e81,aptamer,5.5229,6.246391773223877,
6e8u,aptamer,8.3372,8.365924835205078,
6hbt,duplex_groove,5.3279,5.020014762878418,-5.106
6sx3,other_misc,5.1549,6.715588569641113,-13.62
