pdb,subtype,y_true,y_pred,is_sam_sah
3g4m,riboswitch,5.3565,5.55947878014453,0
3got,riboswitch,5.3979,5.695341185870819,0
3jq4,other_misc,5.0,5.465610980987549,0
3mum,riboswitch,9.6778,9.00838005709944,0
3mxh,riboswitch,10.9586,8.368264344541146,0
3mur,riboswitch,7.8239,9.570077604969017,0
3la5,riboswitch,6.0,5.912762531988495,0
2ku0,other_misc,5.585,5.465610980987549,0
3owz,riboswitch,5.4559,4.747084248753548,0
3npn,riboswitch,7.4949,5.11610153439475,1
2kx8,other_misc,5.2,5.465610980987549,0
2ktz,other_misc,5.0458,5.465610980987549,0
2ygh,riboswitch,6.5086,5.393463820873788,1
2ydh,riboswitch,5.71,5.488663202043952,1
2xo1,aptamer,4.0,4.167821407318115,0
2xnz,aptamer,3.9586,3.867035627365112,0
3sd3,riboswitch,4.7447,4.987809813903471,0
3q50,riboswitch,8.6882,6.9614300691186735,0
3q3z,riboswitch,8.6576,6.549883147307764,0
2l94,other_misc,3.4437,5.465610980987549,0
2xnw,aptamer,3.4318,3.331595659255981,0
3slm,other_misc,3.4214,5.465610980987549,0
2xo0,aptamer,4.0969,4.222468852996826,0
3s4p,other_misc,6.0,5.465610980987549,0
4aob,riboswitch,6.3098,7.368615778624593,1
4fe5,riboswitch,6.1355,6.725136011289044,0
2loa,g_quadruplex,5.6576,5.833573040723542,0
4erj,riboswitch,2.5086,4.293377341104624,0
2lwk,other_misc,4.2967,5.465610980987549,0
4erl,riboswitch,3.2441,4.078438012488939,0
2mb3,other_misc,5.1308,5.016073703765869,0
2rsk,other_misc,5.0,5.465610980987549,0
4jf2,riboswitch,7.7471,6.928185327307541,0
4kqy,riboswitch,7.7212,7.126498462671106,1
4oqu,riboswitch,6.3872,5.969423012099821,1
4lvz,riboswitch,6.301,6.67660448719549,0
4nyg,riboswitch,5.8239,4.61653671296749,0
4nyb,riboswitch,3.9872,4.187056528485883,0
4lvy,riboswitch,3.9586,4.993971708028267,0
4lvx,riboswitch,4.7447,4.636284372454027,0
4qln,riboswitch,5.5376,6.563997717789952,0
4lx5,riboswitch,6.6716,6.336164060263272,0
4nyc,riboswitch,3.5528,4.259722634197802,0
4qk8,riboswitch,6.5229,6.489184513035288,0
4qk9,riboswitch,6.5229,6.594810668992449,0
4nya,riboswitch,4.3098,4.531530576919019,0
4w90,riboswitch,7.2749,6.799870085860771,0
4ts0,aptamer,6.2757,6.2596211433410645,0
4ts2,aptamer,6.2757,6.267354965209961,0
4qlm,riboswitch,7.1805,6.318862100594351,0
4lvw,riboswitch,4.1805,4.687465462594227,0
4nyd,riboswitch,3.1739,5.374666401325591,0
4l81,riboswitch,5.1367,5.989020403777942,1
4lw0,riboswitch,5.0969,4.581274860482878,0
4lvv,riboswitch,5.0177,4.661621216573321,0
4lx6,riboswitch,7.0223,6.160594080036001,0
2mg8,g_quadruplex,6.0155,6.092153577460843,0
4yb0,riboswitch,6.0315,7.204682395508819,0
4xwf,g_quadruplex,5.9666,5.464078717913203,0
4znp,g_quadruplex,5.3279,6.280499871566381,0
5c7u,riboswitch,7.3768,5.952979758143987,0
5btp,g_quadruplex,6.3125,5.653593319532874,0
5c7w,riboswitch,7.3188,6.440813455416995,0
2mxs,ribosomal_asite,5.2924,5.863815784454346,0
4rzd,riboswitch,8.1871,6.876206445393644,0
4yaz,riboswitch,7.1759,6.42711658850512,0
2n0j,ribosomal_asite,6.4815,5.614933490753174,0
5cdb,g_quadruplex,5.9586,5.8582886222412185,0
5lwj,other_misc,5.5432,5.465610980987549,0
5uzz,other_misc,6.699,5.465610980987549,0
5kpy,aptamer,5.4089,6.061594486236572,0
5uee,other_misc,3.699,4.607296466827393,0
5v3f,aptamer,8.5229,8.63102912902832,0
5z80,other_misc,5.9136,5.143898010253906,0
6d2u,other_misc,9.7447,5.465610980987549,0
6dmc,riboswitch,6.2924,5.697445907217474,0
6c65,aptamer,9.0458,8.672234535217285,0
6c63,aptamer,8.9586,9.123218536376951,0
6c64,aptamer,8.8539,7.110732555389404,0
6ck4,riboswitch,5.7447,6.268500780926733,0
5w77,other_misc,4.7825,5.068197250366211,0
6ck5,riboswitch,5.699,4.566860044480651,0
6fz0,riboswitch,5.3595,6.156701186058783,1
6dlt,riboswitch,4.2277,5.518154526082959,0
6e84,aptamer,5.8539,6.123398780822754,0
6j2w,other_misc,5.8539,4.626264572143555,0
6e8t,aptamer,8.7696,8.173084259033203,0
6qn3,riboswitch,3.7212,4.964629328766045,0
6e8s,aptamer,8.6383,9.07891845703125,0
6hmo,other_misc,4.5528,5.465610980987549,0
6hag,riboswitch,5.4318,6.180333358470696,1
6p2h,other_misc,7.4685,5.465610980987549,0
6jj0,g_quadruplex,7.4437,6.246540345077456,0
6e81,aptamer,5.5229,6.162921905517578,0
6e8u,aptamer,8.3372,8.383036613464355,0
6hbt,duplex_groove,5.3279,5.018413066864014,0
6sx3,other_misc,5.1549,5.006446838378906,0
