pdb,subtype,y_true,y_pred,y_pred_ridge
4nya,riboswitch,4.3098,4.172036495258761,5.510528087615967
4w90,riboswitch,7.2749,6.891525041727326,6.609477996826172
4ts0,aptamer,6.2757,6.254786014556885,6.254786014556885
4ts2,aptamer,6.2757,6.269130706787109,6.269130706787109
4qlm,riboswitch,7.1805,6.001810475450926,6.746040344238281
4lvw,riboswitch,4.1805,4.728908321169129,5.8825788497924805
4nyd,riboswitch,3.1739,5.295687763061801,5.6983489990234375
4l81,riboswitch,5.1367,6.686358202808391,6.583813190460205
4lw0,riboswitch,5.0969,5.295419552942041,5.310868263244629
4lvv,riboswitch,5.0177,4.3168900379299355,5.681370735168457
4lx6,riboswitch,7.0223,6.165862203621664,5.614603042602539
2mg8,g_quadruplex,6.0155,6.385166645050049,6.385166645050049
4yb0,riboswitch,6.0315,7.39799065784729,7.231352806091309
4xwf,g_quadruplex,5.9666,5.363616943359375,5.363616943359375
4znp,g_quadruplex,5.3279,5.99065637588501,5.99065637588501
5c7u,riboswitch,7.3768,5.6917641004415245,5.359256267547607
5btp,g_quadruplex,6.3125,6.124325752258301,6.124325752258301
5c7w,riboswitch,7.3188,6.2496449446818865,5.344856262207031
2mxs,ribosomal_asite,5.2924,5.850553035736084,5.850553035736084
4rzd,riboswitch,8.1871,6.7132683909773565,5.586658477783203
4yaz,riboswitch,7.1759,6.102266022753826,7.415300369262695
2n0j,ribosomal_asite,6.4815,5.597191333770752,5.597191333770752
5cdb,g_quadruplex,5.9586,5.644585609436035,5.644585609436035
5lwj,other_misc,5.5432,6.002452373504639,6.002452373504639
5uzz,other_misc,6.699,6.366476058959961,6.366476058959961
5kpy,aptamer,5.4089,6.021834850311279,6.021834850311279
5uee,other_misc,3.699,5.955497741699219,5.955497741699219
5v3f,aptamer,8.5229,8.60007381439209,8.60007381439209
5z80,other_misc,5.9136,5.970181465148926,5.970181465148926
6d2u,other_misc,9.7447,6.5026469230651855,6.5026469230651855
6dmc,riboswitch,6.2924,6.0390266395093795,6.6167426109313965
6c65,aptamer,9.0458,8.6714506149292,8.6714506149292
6c63,aptamer,8.9586,9.11646842956543,9.11646842956543
6c64,aptamer,8.8539,7.0818939208984375,7.0818939208984375
6ck4,riboswitch,5.7447,6.599913405765332,6.038131237030029
5w77,other_misc,4.7825,5.432858467102051,5.432858467102051
6ck5,riboswitch,5.699,4.1707000984879405,5.050188064575195
6fz0,riboswitch,5.3595,7.4172468804852585,7.303088188171387
6dlt,riboswitch,4.2277,5.586273335215557,5.940725803375244
6e84,aptamer,5.8539,6.123582363128662,6.123582363128662
6j2w,other_misc,5.8539,5.589949607849121,5.589949607849121
6e8t,aptamer,8.7696,8.198261260986328,8.198261260986328
6qn3,riboswitch,3.7212,3.948256722570102,5.257159233093262
6e8s,aptamer,8.6383,8.972877502441406,8.972877502441406
6hmo,other_misc,4.5528,5.353670597076416,5.353670597076416
6hag,riboswitch,5.4318,6.708863762792989,6.593580722808838
6p2h,other_misc,7.4685,5.70473051071167,5.70473051071167
6jj0,g_quadruplex,7.4437,5.836425304412842,5.836425304412842
6e81,aptamer,5.5229,6.246394157409668,6.246394157409668
6e8u,aptamer,8.3372,8.365880966186523,8.365880966186523
6hbt,duplex_groove,5.3279,5.0204386711120605,5.0204386711120605
6sx3,other_misc,5.1549,6.714863300323486,6.714863300323486
